Title,Author,Abstract
How Classroom Environment and Student Engagement Affect Learning in Internet-based MBA Courses,J.B. Arbaugh,"While the number of college courses being delivered via the Internet is increasing rapidly, our knowledge of what makes these courses effective learning experiences for students is still limited. Therefore, I conducted a study that examined the effects of technological, pedagogical, and student characteristics on student learn ing in Internet-based MBA courses. Of these characteristics, I found that only those reflecting instructor efforts to create an interactive classroom environment were significantly associated with student learning. Other characteristics such as the perceived ease of use of the course software package, the perceived flexibility of the online classroom environment, and the amount of time students spent logged onto the course Website were not significantly associated with student learning. These findings suggest that while some level of technological sophistication may be important, teaching expertise may be the primary criterion for teaching success in the online classroom environment..."
Differences in American and British Vocabulary: Implications for International Business Communication,James Calvert Scott,"American English and British English vocabularies have diverged over time, result, ing in lexical differences that have the potential to confound English-language intercultural communication. The differences derive from the need to adapt the meanings of existing expressions or to find new expressions for different things and to borrow expressions from different cultures. Separation and slow means of com munication also cause differences and encourage one side to retain archaic expres sions that others have abandoned or modified. The differences in vocabulary can be grouped into four categories: the same expression with differences in style, con notation, and/or frequency; the same expression with one or more shared and dif ferent meanings; the same expression with completely different meanings; and dif ferent expressions with the same shared meaning. These differences in vocabularies affect understanding of all varieties of English. To bridge differences in Enghsh language vocabularies, international busi..."
Interpersonal Communication for Police Officers: Using Needs Assessment to Prepare for Skeptical Trainees,Marilyn J. Woods,"The philosophy of community policing emphasizes interpersonal communication skills for police officers. However, trainee police officers may be wary of training conducted by someone outside of law enforcement. This article lends support for using a needs assessment that helps trainers overcome organizational and personal boundaries in such a training class. In teaching interpersonal communication for groups of 8 to 12 police officers in two-hour training sessions, I learned that strate gically using the results of a needs assessment could encourage trainees to have a vested interest in the class and help the trainer feel competent and comfortable."
Building Knowledge Structures in Teaching Cross-cultural Sales Genres,Zhu Yunxia,"Approaching genres as knowledge structures provides a useful theoretical basis for teaching students to communicate across cultures. The approach is based on the concept of schemata (Rumelhart, 1980; Cook, 1994) and on Swales's (1990) techniques for genre analysis. It is divided into four interrelated teaching stages: background information, communicative purposes, text structure, and the implica tions of genre comparisons. Among the four stages, teaching the communicative purposes is the most important. This approach has been used effectively to teach students how to write sales letters in English and Chinese."
Internet Recruiting in the Banking Industry,"C. Glenn Pearce, Tracy L. Tuten","The Internet has brought about changes in the job search and application process. For this article, recruiters at several large commercial banks in the US were inter viewed on the usage of Internet recruiting tools. The interviews identified a number of trends that are fairly uniform across these banks, including the following:1. Recruiters are using the Internet at an increasing rate.2. While job site services are popular, most recruiters we interviewed preferred using the corporate Website.3. The percentage of Internet-recruited applicants actually hired varies widely and is still a small percentage of the whole.4. Diversity programs are not hampered by Internet recruiting."
Self-observation in Teaching: what to Look for,Larry Robbins,"Instructors who want to improve their teaching often do not know how to identify the changes they need or want to make. This article offers practical suggestions on course planning and class preparation, effective communication, questioning and responding, assessment and evaluation. The focus is on providing a method of observing the process of teaching and learning. If teachers know how to observe themselves, they can more easily establish a personal style that motivates their students."
Getting Up to Speed on the Information Highway: Integrating Web-based Resources into Business Communication Pedagogy,"Thomas D. Clark, Sherrie E. Human, Heidi Amshoff, Mike Sigg","Building on student and faculty enthusiasm for Web resources, we addressed four significant questions as we revised a business communications class to incorporate the Internet:• What Web resources should we include?• How do we make sure we select high quality sites and assessment tools?• How do we effectively integrate Web tools with existing pedagogies?• Will students find Web assignments valuable, easy to access, and useful for course assignments?We integrated Web resources with other course pedagogies in the undergraduate business communications class and identified Websites relevant for teaching employment communication, including e-mail etiquette, online resumes, and elec tronic job searches. Student evaluations of our Web-enhanced course indicate that most found the Web-based assessments and tools accessible and valuable in fur thering their self-understanding and in leading them to explore other sites not required for class. We developed guidelines for using the new technology to support teaching a..."
Working in Groups: identification and Treatment of Students' Perceived Weaknesses,"Nancy M. Schullery, Melissa K. Gibson","The ability to work in groups is vital for today's workforce, yet the existence of the necessary skills among students is questionable. Although group activities are now common, specific classroom instruction in effective group participation skills is not. Moreover, students recognize the need for such instruction. Content analysis of students' self-descriptions identified ten categories of deficiencies: conflict avoidant, public speaking anxiety, leadership, shy, oral skills, lack motivation, brainstorm ing, impatient,-intolerant, dislike groups. These weaknesses were addressed by a vuriety of pedagogical exercises including individual presentations, type or tem perament identification, an enhanced understanding of argument and brainstorm ing, and ways to encourage substuntive, but not procedural or affective, conflict. Student-perceived improvements were found in all categories, with the largest improvement in public speaking anxiety."
A Historical Review of Business Communication Quarterly,Stephen D. Lewis,"Since the inception of its predecessors in the 1930s, Business Communication Quarterly has evolved from a duplicated, newsletter-type publication into a glossy, professional, refereed journal. During this evolution, hundreds of authors and more than a dozen editors have contributed to BCQ's progress. Articles on a broad variety of topics have provided pedagogical support to new and experienced teachers alike. Presented here is a brief history of BCQ, a glimpse at BCQ's most popular manuscript topics, and a listing of its editors and most prolific authors. Frequency of topical coverage by decade is also included. Veteran ABC members and new members alike should find interesting the topical publishing trends throughout the sixty-plus year history of the Association and the Business Communication Quarterly."
Instructor and Student Perceptions of What is Learned by Writing the Business Report,Kathleen M. Hiemstra,"In many business communication courses students must write a business report. This study compared what business communication instructors believe their stu dents learn and what writing skills they improve by completing the assignment with what students believe they learn and what writing skills they believe are improved. Data were gathered from members of the Association for Business Communica tion and from students who have completed a business report. Instructors see greater improvement in student writing skills than do students. To close this gap, faculty should offer more explicit explanations of the assignment and of the con cepts to be learned and the skills to be improved. They should also explain the cri teria for evaluation and help students assess their writing skills and set personal goals for improvement. Questionnaires are provided so instructors can compare their own perceptions with those of their students as well as with the instructors and students from this study."
"Toward a New Cartography of Intercultural communication: Mapping Bias, Business, and Diversity","Debashish Munshi, David McKie","Courses in intercultural communication often put non-Western students at a dis advantage. In developing a course with a majority of non-Western participants at The University of Waikato, we adapted critical pedagogy to address the Western biases in the texts and approaches of intercultural communication. We selected both mainstream and alternative readings that allowed students to connect the field's neo-colonial business present with its colonialist past, to question the ethics and efficacy of an often skewed territorialisation of knowledge; and to redress tra ditional distortions by introducing perspectives from a range of critical and post colonial theorists. The readings were reinforced by student presentations of their own experiences crossing cultural borders. These experiences were then assessed in class, so that we didn't rely on the simulated experiences recorded in the conven tional texts."
Peer versus Self Assessment of Oral Business Presentation Performance,"Kim Sydow Campbell, David L. Mothersbaugh, Charlotte Brammer, Timothy Taylor","Pedagogical practice related to oral business presentations has received little research attention despite the pervasiveness of oral presentations in business class rooms and their perceived importance to workplace success. This study collected data on three groups (self, peers, and instructor) to address four research ques tions related to (a) the usefulness of self and peer ratings as substitutes for instruc, tor evaluation of oral business presentations and (b) the relationship between vari ous content and non-content factors on overall perceptions of presentation quality. Data from this study suggest that (1) both holistic and analytical peer assessments are reasonable substitutes for instructor assessment when raters are trained; (2) self assessment does not closely reflect either peer or instructor assessments; and (3) peer assessment of delivery characteristics, command of material, and content strongly predict peer ratings of overall presentation quality."
"How Male, Female, and Mixed-Gender Groups Regard Interaction and Leadership Differences in the Business Communication Course","Janet K. Winter, Joan C. Neal, Karen K. Waner","Research on leadership and teams suggests that men and women exhibit different leadership and interpersonal communication styles. A review of literature and a survey of students in upper-level business communication courses at Central Mis souri State University provide evidence for five strategies to assist students in deal ing with team-interaction situations:1. Instruct students in techniques to avoid groupthink and to promote and handle competition2. Offer students ideas on and methods for reaching agreement in a timely manner3. Vary the subject of group writing assignments to allow each student to be per ceived as an expert4. Encourage all students to be active participants in the group process5. Emphasize the importance of good writing skills to both males and femalesFinally, further research is needed regarding the ""natural leader"" role, the role of competition in groups, and the effect of perceptions of tasks as either ""feminine"" or ""masculine."""
Cross-cultural Service Learning: American and Russian Students Learn Applied Organizational Communication,Betsy Stevens,"In an unusual cross-cultural endeavor, American and Russian students engaged in service learning as part of an organizational communication class in which they applied their skills to assist non-profit organizations. American students worked with a nursing home to plan a public relations event and the Russian students gave a party for children at an orphanage in Tomsk, Russia.Students worked in teams and accomplished assigned responsibilities. Both groups produced a public relations event and each contacted the press seeking news cover age. The Americans surveyed stakeholders about the effectiveness of the organiza tion's ability to communicate with its constituents. The Russians went about their project differently (they participated in the course online) ."
The Business of the Business Writing Center,Frank Griffin,"The question of how best to serve students in a business writing center leads to a consideration of the rhetorical relationship among students, writing center consult ants, teaching faculty, and employers in the students' professions. Most rhetorical models consider only the writing center as occupying the middle ground between students and teaching faculty. A revision of that model, one in which the writing center and teaching faculty share the middle ground, is more appropriate for a business writing center. Moreover, writing assignments best serve business student writers when students must situate themselves within the discourse community of a post-graduation employer. Instead of fostering an adversarial relationship, business writing centers function most effectively for students when the center complements the classroom faculty."
You-Attitude: A Linguistic Perspective,Lilita Rodman,"You-attitude is a pedagogically convenient cover term that subsumes considerable complexity, both with respect to the text effects it may include and the text charac teristics that create these effects. Some of the insights on politeness, tact, and def erence found in the work of Brown and Levinson, Leech, and Fraser and Nolen can help provide guidelines for assessing how important a you-attitude may be in writing about a particular real-world situation, and case grammar and information structure can inform strategies to enhance the expression of a you-attitude. Rather than being a binary variable, you-attitude appears to be gradable, and an infor mal student assessment of the you-attitude expressed in ten versions of the same passage suggests that the various strategies for enhancing the you-attitude conveyed by a text appear to have a cumulative effect, so that a greater sense of you-attitude is created when more strategies are used."
Writing Across the Curriculum in a College of Business and Economics,"Susan Plutsky, Barbara A. Wilson","A recent study examined how written communication concepts and skills have been integrated into core courses in the College of Business and Economics at California State University, Northridge. Writing-across-the-curriculum programs have met with mixed success. We wanted to see how elements of such a program were working at our university. Through a survey of faculty, we found the pres ence of both formal and informal writing policies, differences in standards for writ ing in upper-division core courses, differences in assignments, differences in assess ment strategies and in the results of such assessments, and, finally, differences in perceptions about whether WAC is a good idea. In general, faculty do provide opportunities for students to write, but many feel students write poorly and thus can handle only easy assignments, and many faculty consider themselves ineffec tive teachers of writing. Based on this study we recommend the implementation of team-taught, interdisciplinary courses; the development ..."
How Instructor Immediacy Behaviors Affect Student Satisfaction and Learning in Web-Based Courses,J.B. Arbaugh,"In this study I investigated whether instructor classroom behaviors, called ""imme diacy behaviors,"" are significantly associated with student learning and satisfaction in Web-based MBA courses. Immediacy behaviors represent instructors' attempts to reduce the social distance between themselves and their students. While my study found that immediacy behaviors were positive predictors of student learning and course satisfaction, such other factors as student attitudes toward course soft ware, the length of a course, and prior student and instructor experience with Web-based courses were also significant predictors. These findings suggest that both structural characteristics of MBA programs and instructor behavior merit attention for Web-based courses to successfully deliver graduate management education."
Collaborative Peer Evaluation: Best Practices for Group Member Assessments,"Lisa E. Gueldenzoph, Gary L. May","As collaborative or team-based projects become more popular in both secondary and post-secondary classrooms, instructors are looking for ways for group mem bers to effectively evaluate one another. Constructing effective evaluation tools can be a daunting task. As shown by a review of literature, best practices include (1) building a foundation in the classroom that supports collaborative evaluation, (2) creating effective evaluation tools by articulating specific criteria and ensuring honest student participation (3) implementing formative feedback during the col laborative experience, (4) formulating summative feedback at the conclusion of the experience, and (5) assessing the collaborative evaluation process."
Showcasing the Skilled Business Graduate: Expanding the Tool Kit,"Janette Moody, Brent Stewart, Cynthia Bolt-Lee","To aid in selecting employees, recruiters use such tools as the interview, resume, academic portfolio, and videos. However, these tools are not equally effective in helping job candidates showcase specific skills during the hiring process. In a survey, we asked recruiters about the skills they seek in applicants and the best method for students to demonstrate those skills. The top five skills sought, not unexpectedly, are 1: communication (oral and written); 2. computer literacy; 3. interpersonal/social; 4. critical thinking/leadership (tied); and 5. teamwork. Recruiters still favored the resume and interview as methods for demonstrating these skills, but they also felt a portfolio was useful in providing evidence of these skills in context. None recommended video presentation. Based on this study, we suggest that instructors provide students with explicit instruction on developing resumes and portfolios and in performing well in interviews."
Health Care and the Silent Language of Vietnamese Immigrant Consumers,H. Rika Houston,"Cultural contexting has long been an established part of the business communica tion vocabulary. Each cultural group possesses a deeply embedded ""silent lan guage"" that requires attention and provides communication challenges. In the busi ness of health care, this silent language can create tremendous challenges for the physician/patient communication process, especially when the physician and patient come from starkly different cultural backgrounds, an increasingly common scenario. Through focus groups with recent Vietnamese immigrants, we identified three salient factors in this silent language: cultural health beliefs, time orientation, and the expected role of family members in the practice of health care. Business communication instructors need to incorporate these factors as they prepare administrators and practitioners to communicate well as health care professionals."
Language Training for Enhanced Horizontal Communication: A Challenge for MNCs,"Mirjaliisa Charles, Rebecca Marschan-Piekkari","Horizontal communication between subsidiaries of the same multinational corpo ration (MNC) is a Problem faced by staff as the demands for communicating across borders are pushed downwards in the organizational hierarchy. Although the choice of English as the common corporate language alleviates some of the hor izontal communication problems, it does not solve them all-particularly not when many subsidiaries are located in non-English speaking countries. In that situation, horizontal communication between subsidiaries can be a significant casualty.In a study of communication within a Finland-based MNC, Kone Elevators, interviews with staff globally revealed problems not only for non-native speakers, but also for native speakers of English. Illustrative interview data suggests that cor porate training schemes should focus on the broad spectrum of international com munication rather than on increasing a systematic knowledge of any one language."
Assessing Business Communication Assignments of English-as-Second-Language Students,"Stephen D. Lewis, Linda G. McGrew, C. Nathan Adams","As the US population becomes more diverse, the enrollment of English-as-Second- Language (ESL) students in colleges and universities continues to expand. This diversity may sometimes lead to problems for business communication teachers who must assess the written communication skills of students who may not be fluent in English. To address these problems, we conducted a nationwide survey of business communication teachers, soliciting input on how ESL students' written communication skills were assessed. Respondents were asked to identify areas where their assessments of ESL students might differ from their assessments of stu dents whose first language was English. Comparisons were made based upon teachers' gender, age, number of years of teaching experience, and geographic location where they teach. Although some grading leniency was shown toward ESL students in specific areas, generally the respondents indicated that they do not assess business communication assignments any differently based upon the stu..."
"converging within Divergence: Overcoming the Disciplinary Fragmentation in Business Communication, Organizational Communication, and Public Relations",Theodore E. Zorn,"As researchers, we often overstate the distinction between our own specialties and those fields that are clearly related. thus dismissing or ignoring research outside our specialties. Similarly, we too often fragment our teaching to focus on particular communication processes and competencies that fit our notions of what is appro priate for our chosen subdisciplines. Such fragmentation, however, diminishes our teaching and research. To overcome this problem, we should work toward struc tural realignments in our universities to encourage cross-disciplinary work; design majors around competencies, not departments; encourage coteaching to focus dif ferent perspectives on one case or example; encourage interdepartmental ""commu nication dialogues""; read a broad range of literature and work toward expertise in a topic, not just a discipline; attend other than just the usual conferences; and invite students to use a wide range of resources in solving problems."
Inbox Shock: A Study of Electronic Message Volume in a Distance Managerial Communication Course,"Jackie Hartman, Jeffrey S. Lewis, Karen Sterkel Powell","As institutions of higher education strive to serve students who are diverse and geographically dispersed, many of them are implementing distance education pro grams using technology-mediated communication. Research reveals that distance education is often as effective as traditional education; however, teachers and stu dents are confronted with a variety of obstacles. Thus educators need to determine the most effective and efficient methods of communicating with distance students. An examination of e-mail messages sent to the instructor of an MBA class by dis tance students reveals that the volume of messages sent depends on students' tech nology proficiency, ability to process and seek out information, topic affinity, and relational needs. Furthermore, the findings reveal that an instructor can decrease the volume of messages received by researching the student population, communi cating proactively, and taking advantage of the messaging system's tools."
Enhancing Collaborative Learning: Discussion Boards and Chat Rooms as Project Communication Tools,"Jacqueline K. Eastman, Cathy Owens Swift","Group projects are integral to the business curriculum and can be useful in devel oping students' skills and abilities as managers. However, fuculty encounter sev eral problerns with group projects, including assessing students' efforts, aiding good communication and coordination among members, and making sure the project is a truly collaborative effort. Technology may aid in addressing these problems; elec tronic discussion boards and chat rooms, for example, can help faculty and stu dents enhance collaboration and increase the accountability of group members."
Promoting Innovation in the Workplace: The Internal Proposal,Laura Reave,"Today's managers expect employees to be able to contribute not just their labor but also their analysis and ideas, yet little training is provided for writing the major document that contains such ideas: the internal proposal. Business and academic textbooks, as well as academic courses, focus almost entirely on external propos als, which are most appropriate in areas such as consulting and sales. The internal proposal (also known as the justification report), on the other hand, is applicable for almost any student's future career. It provides an opportunity for students to develop the competence and confidence to express their ideas in the workplace, encouraging them to demonstrate awareness and initiative, utilize problem-solving skills, and create a persuasive strategy. Because students are motivated to com plete this real-world assignment, it also inspires some of their best work."
Managing Communication within Virtual Intercultural Teams,Christine Uber Grosse,"As global companies increasingly rely on virtual teams to conduct short- and long- term projects, business students need to be prepared to manage the communication of intercultural teams. Communicating across cultures using technology can be a difficult task. It requires understanding the advantages and limitations of technol ogy and how to build relationships via technology. Virtual team members need to choose an appropriate communication channel for their purposes and be sure to balance distance work with face-to-face communication. Team leaders should encourage open communication and brainstorming, and avoid assignment of blame. Other strategies for success include: 1) develop a network of good relation ships built on trust and understanding, 2) show respect for other cultures and lan guages, and 3) understand how diversity strengthens the team."
Faculty Perceptions of Communication Skills and Needs of Business School Undergraduates in Singapore,Glenn Wharton,"In Singapore in 2000, the government launched a Speak Good English Movement to improve English language skills and to limit the use of Singlish (a local variety of English) by promoting the use of (Standard) English among the general popula tion. This campaign was motivated by govemment perception and media reports of a decline in English language skills.Using a 40-item questionnaire, this study investigated whether faculty at a large Singapore business school shared similar perceptions of inadequate communi cation skills, in this case among undergraduates, and also sought to explain their perceptions. The findings indicate that the faculty perceived undergraduate com munication skills to be in need of improvement, thus lending support to employer and government criticism. An analysis of survey responses revealed some probable underlying causes for faculty perceptions, including an apparent lack of real com mitment to the improvement of such skills."
Department Chairs' Perceptions of the Importance of Business Communication Skills,William J. Wardrope,"The purpose of this investigation was to determine business department chairs' rat ings of topics typically covered in the business communication course. A sample of 280 chairs provided administrative information about the business communication courses at their institutions, rated the importance of 34 topics typically covered in the course, and assessed the need for the course in their programs. Results indicate that department chairs perceive writing skills to be more important to business communication courses than other communication skills, such as speaking, tech nology-mediated communication, interpersonal communication, team/group com munication, listening, and cultural literacy skills. Implications for business com munication curriculum and research are offered."
Strengthen Your Business Communication Program with an Alumni Advisory Board,John M. Penrose,"Faculty, departments, and colleges are being pressured by state legislatures, boards of trustees, and re-accreditation organizations to assess themselves and their prod uct aggressively. Assessment may deal with demographics, such as number of stu dents per class; perceived quality, such as the nurnber of publications by faculty; or by outcomes, such as who hires the graduates and how well the graduates per form. External advisors are helpful in conducting such evaluations. One such group is an alumni advisory board, which can be established and operate with min imal effort and cost, yet can yield many benefits. The Alumni Board of the Infor mation and Decision Systems Department at San Diego State includes recent graduates nominated by faculty, is targeted at about 75 members, and is queried several times a year on issues related to curriculum, new topics of interest to the classroom, and job trends."
Consulting Course Design: Theoretical Frameworks and Pedagogical Strategies,"Elise J. Dallimore, Tasha J. Souza","Educators need to be more proactive in expanding course offerings to respond to the academic needs of university students. Draum by excellent pay and prospects of gaining valuable experience, more college graduates are pursuing employment in consulting. With consulting skills growing in importance for many of our students in the 21st century, business communication scholars are particularly well posi tioned to help students develop these requisite skills and knowledge. Offering a course dedicated to the topic of consulting, or including consulting experience in a standard business communication course prepares students for engaging in consult ing activities, including research, assessment, training and development, facilita tion, and evaluation. Our course foregrounds instructional frameworks and serv ice learning to assist students in systematically assessing organizational problems and designing and implementing organizational interventions."
Companies Can Apologize: Corporate Apologies and Legal Liability,"Ameeta Patel, Lamar Reinsch","Discussions of corporate apologies frequently state or imply that apologies create legal liabilities for the apologist and, therefore, that corporate attomeys routinely recommend against apologies. A review of formal (""black letter"") and common law indicates that apologies generally do not constitute evidence of guilt and that, in fact, they sometimes have positive consequences for the apologist. Persons who practice (or teach) crisis communication should avoid the mistake of relying on an over-simplified and inaccurate understanding of the legal issues surrounding corpo rate apologies."
Human Subjects Research by Business Students: Beyond the Red Tape,"Jill D. Jenson, Jo Mackiewicz, Kathryn Riley","Business communication faculty often assign projects that require students to interview, survey, or observe human subjects. Depending on the nature of the project and the policies at the faculty member's university, such projects may require prior approval by the university's Institutional Review Board (IRB). Therefore, business communication faculty will benefit from an understanding of three areas related to IRB review of class projects involving human subjects research: (1) whether their institution requires such class projects to be reviewed by the university's IRB and, if so, what form the review takes; (2) how they can adapt classroom activities, materials, and assignments so that human subjects research by students complies with IRB policies; and (3) how they can relate IRB policies to issues that students may face in their future professional lives."
Self-Imposed Silence and Perceived Listening Effectiveness,"Iris W. Johnson, C. Glenn Pearce, Tracy L. Tuten, Lucinda Sinclair","Thus far, listening training has been limited to lectures on the process of listening and experiential exercises designed to provide for practice in listening and for assisting in a person's ability to recognize his or her own beneficial and detrimental listening behaviors. Using a new process—silence—for developing listening skills, this study compared the effects on perceived listening effectiveness of a self- imposed period of silence versus attending a lecture on listening skills versus a combination of a self-imposed period of silence and attending a lecture. While no significant differences were found for either lecture or silence or the combination of the two on measures of perceived listening effectiveness, qualitative data from journals kept by the participants suggest that the act of self-imposed silence greatly improves awareness of one's listening effectiveness and the value of developing beneficial listening skills."
404 File Not Found: Citing Unstable Web Sources,Frank Griffin,"Researchers, including students, must accommodate to the mutating character of hyperlinks on the World Wide Web. A small study of citations in three volumes of BCQ demonstrates the phenomenon of ""URL rot,"" the disappearance of sites cited in the sample articles. Digital technology itself is now being used to create pockets of permanence, but with the understanding that preservation of content is only one ingredient in the mix of media and format migration. Databases like JSTOR offer digitally preserved copies of many scholarly journals. Online journals and search engines may offer their own archives. In general, researchers should cite digital articles in databases where possible and consider avoiding references to online journals with print editions."
Applying Distributed Learning Theory in Online Business Communication Courses,Kristin Walker,"Distributed learning theory is valuable for teachers of online business communica tion courses because it 1) highlights complexities of software tools, not only the online course interface, but also tools used to produce Websites, brochures, CDs, and other multi-media elements; 2) provides a way to address online communica tion dynamics, such as online chats and discussions, that students will practice in the workplace; and 3) allows teachers to examine how their previous experiences teaching business communication in more ""traditional"" classrooms affect teaching online. Highlighting these areas allows business communication teachers to focus on the critical use of technology in online formats that entail relatively new teach ing media. The critical application of technology use can be seen in areas like tool evaluation and use, power and divisions of labor, and community participation."
