URL,Title,Author,Abstract
https/academic.microsoft.com/#/detail/1970773474,A Fantasy-Theme Analysis of Arthur Barlowe's 1584 Discourse on Virginia: The First English Commercial Report Written about North America from Direct Experience,Michael G. Moran,"
                            In 1584 Walter Raleigh received from Queen Elizabeth letters patent to colonize any region of North America not possessed by a Christian prince. In that same year he sent a reconnaissance fleet of two ships to explore the area surrounding Roanoke Island on what is now the Outer Banks of North Carolina. When the ships returned to England, Arthur Barlowe, probably with some help from Raleigh and others, produced his ""Discourse,"" which is the first English commercial report written about any place in North America based on careful reconnaissance. Using fantasy-theme methodology, this article examines the persuasive strategies that the report uses in its attempt to attract a larger group of English merchants, colonists, government officials, and adventurers to Raleigh's project.
                        "
https/academic.microsoft.com/#/detail/1971664839,Constructing Genre: A Threefold Typology,Donna J. Kain,"
                            Much genre research focuses on genre as typified, recurring discursive actions used by members of discourse communities. This article discusses the role of genre in a project that includes participants from different discourse communities. The participants created a single text to assist multiple audiences to ensure that buildings and facilities are accessible to people with disabilities. The author proposes a functional framework for considering the role of genre knowledge on the cross-disciplinary project.
                        "
https/academic.microsoft.com/#/detail/1971802702,Ethics and Visual Rhetorics: Seeing's Not Believing Anymore,Nancy Allen,"
                            When working with graphics and illustrations, technical communicators face ethical questions at almost every step. The visual rhetorics available offer help with evaluating visual components but little guidance on ethical issues. This article presents examples of ethical conflicts, describes some of the prominent visual rhetorics, and discusses ethical issues that need to be addressed. Some steps for improving ethical awareness related to graphics and illustrations are suggested.
                        "
https/academic.microsoft.com/#/detail/1972598508,The Rhetorical Ecology of the Technical Effect,Michael Truscello,"
                            This article calls for close attention to the current moment when many technologies are becoming routine, occupying a space between ""unknown and unnoticed,"" and for formation of a digital rhetoric that addresses software's liminality, ubiquity, and exteriority. It briefly examines the emerging discourse of the Free and Open Source Software movements and suggests that a closer alignment with software studies in coming years will be mutually beneficial to both fields.
                        "
https/academic.microsoft.com/#/detail/1973589356,Intuitive Ethics: Understanding and Critiquing the Role of Intuition in Ethical Decisions.,Brenton Faber,"
                            This article examines the role intuition plays in forming ethical decisions. First, the article reviews examples of intuitive ethics in professional communication research. Second, the article suggests that intuition is the naturalization of dominant cultural values and beliefs. Third, the article considers naturalized values within institutions and organizations, demonstrating how naturalized values can lead to unquestioned and oppressive institutional practices. Ethical inquiry, according to this view, investigates and denaturalizes those assumptions that are carried forth by intuition. Fourth, the article offers a pedagogical example of this theory, demonstrating how a group of business communication students investigated the intuitive practices of a non‐profit organization. The article concludes by suggesting the value that a “critique of intuition” may have for the teaching, study, and practice of professional ethics.
                        "
https/academic.microsoft.com/#/detail/1973794299,Implications of Professional Writing Experiences of Academic Veterinary Scientists for Technical Writing Pedagogy,"Heidi M. Lott, Marilyn Barrett-O'Leary","
                            Five academic veterinary scientists were interviewed to learn about their professional writing experiences and relate them to technical writing pedagogy. The interviews probed the genres in which they write, their composing methods, their professional attitudes toward writing, and the sources of training in writing. The data suggest that while writing is an integral part of their research, teaching, and professional advancement and is used in conducting business, the academic scientific curriculum does not specifically address this important element in their careers.
                        "
https/academic.microsoft.com/#/detail/1974127981,Florence Nightingale's Visual Rhetoric in the Rose Diagrams,Lee Brasseur,"
                            Florence Nightingale is usually pictured as an angelic nurse tending to British soldiers in military hospitals during the Crimean War. Although Nightingale was indeed a tender of soldiers, she was also an administrator, advocate for the common soldier, and proponent of the use of statistics and information design. This article examines Nightingale's rose diagrams, which she designed following her service as the director of nurses at a field hospital in the Crimean War. When the war ended, Nightingale was asked by the queen to write a report on the poor sanitary conditions and make recommendations for reform. When, after six months, the government did not act on the reforms, Nightingale decided to write an annex to the report, in which she would include her invention, the rose diagrams. Nightingale's ultimate success in persuading the government to institute reforms is an illustration of the power of visual rhetoric, as well as an example of Nightingale's own passionate resolve to right what she saw as a g...
                        "
https/academic.microsoft.com/#/detail/1974444399,A Question of Ethics: Lessons from Technical Communicators on the Job,Sam Dragga,"
                            Theories of ethics typically emphasize either good character (asking ""Who will I be?"") or right behavior (asking ""What will I do?""). Studies of ethics in technical communication have typically focused on the analysis of behavior, offering heuristics for deciding ethical dilemmas. Interviews with 48 technical communicators, however, reveal little exercise of such analytical processes. In making moral choices on the job, the majority look to feelings, intuition, and conscience. Ethics might be more effectively taught through a narrative perspective, especially by identifying models of moral courage and integrity.
                        "
https/academic.microsoft.com/#/detail/1975002624,Technical Communication on the Web: A Profile of Learners and Learning Environments.,"Suzanne P. Schneider, Clark G. Germann","
                            The number and variety of distance education courses have increased dramatically in recent years with the advent of new delivery technologies. Third‐generation distance delivery methods such as interactive, Web‐based instruction also have led to new levels of access for students. This article presents demographic information about students taking online courses at two institutions. In addition, it discusses some of the changes in learning environments that may accompany the move to the virtual classroom. Finally, it points out some potential problems in delivering courses with new technologies.
                        "
https/academic.microsoft.com/#/detail/1977527245,The Impact of Student Learning Outcomes Assessment on Technical and Professional Communication Programs,Jo Allen,"
                            Because of accreditation, budget, and accountability pressures at the institutional and program levels, technical and professional communication faculty are more than ever involved in assessment-based activities. Using assessment to identify a program's strengths and weaknesses allows faculty to work toward continuous improvement based on their articulation of learning and behavioral goals and outcomes for their graduates. This article describes the processes of program assessment based on pedagogical goals, pointing out options and opportunities that will lead to a meaningful and manageable experience for technical communication faculty, and concludes with a view of how the larger academic body of technical communication programs can benefit from such work. As ATTW members take a careful look at the state of the profession from the academic perspective, we can use assessment to further direct our programs to meet professional expectations and, far more importantly, to help us meet the needs of the well-e...
                        "
https/academic.microsoft.com/#/detail/1977634011,Responding to Technical Writing in an Introductory Engineering Class: The Role of Genre and Discipline.,"Paul Miller, Jaye Bausser, Audeen Fentiman","
                            A case study of an experienced professor's comments on a design report in a first‐year engineering class was conducted over the period of an academic year. When compared with the commenting styles of technical writing teachers, the engineering professor's comments were found to be highly directive, and thus at odds with the preference for facilitative comments that prevails in composition studies. However, differences in genre conventions explain much of the discrepancy.
                        "
https/academic.microsoft.com/#/detail/1977750836,Archaeology Reports: When Context Becomes an Active Agent in the Rhetorical Process,Ken Baake,"
                            This article explores the writing of archaeologists to argue that the metaphor of context-as-rhetorical-situation may understate the power that context has to shape scientific discourse. The author offers instead the metaphor of context-as-active-agent in the rhetorical situation—one that sometimes reifies values that are dangerous to the archaeologists' belief systems. As scholars of technical writing, we must develop a greater understanding of the subtle but powerful influences that context wields on the writing we read and help to produce.
                        "
https/academic.microsoft.com/#/detail/1977782323,The Postmodern Space of Operator's Manuals,Marilyn M. Cooper,"
                            Most operator's manuals are examples of failed rhetoric: discourse that fails to inform, to persuade, or even to be read. By moving from a tacit reliance on a modernist model of communication that emphasizes the transfer of information to a postmodem model that emphasizes the communication of understanding, and by applying two principles of negotiating understanding—encouraging users to denaturalize their common sense and encouraging users to take their share of responsibility for the safe and effective use of technologies—technical writers can construct manuals that are more likely to succeed rhetorically and legally.
                        "
https/academic.microsoft.com/#/detail/1980490466,"Characteristic-Based, Task-Based, and Results-Based: Three Value Systems for Assessing Professionally Produced Technical Communication Products",Saul Carliner,"
                            Technical communicators have developed different methodologies for evaluating the effectiveness of their work (whether the information can be used by the intended audience), such as editing, usability testing, and determining the value-added. But, as vastly differing assessments of the same professionally produced technical communication products suggest, at least three broad value systems underlie the assessment practices: characteristic-based (assessing against a set of criteria), task-based (assessing users' observed ability to perform tasks), and results-based (assessing the contribution to the publisher, usually in financial terms). The systems do not overlap with one another; rather, they embody different values about what makes technical communication effective. The most complete form of assessment may involve multiple assessment approaches and triangulated results.
                        "
https/academic.microsoft.com/#/detail/1980612092,"Results of a Survey , of ATTW Members, 2003","David Dayton, Stephen A. Bernhardt","
                            This article presents the results of an April 2003 electronic survey of ATTW members. Results and interpretations are categorized as follows: a professional profile of respondents; member observations about ATTW and its activities (member participation, appraisal of benefits, and preferred topics for TCQ); and current issues and views of the field's future.
                        "
https/academic.microsoft.com/#/detail/1980739836,"Information Acceleration and Visual Trends in Print, Television, and Web News Sources",Lynne Cooke,"
                            In 2002, cable television news programs adopted modular presentation styles visually similar to the design of news website home pages and newspaper front pages. This design convergence of print, television, and the Web is the result of a dynamic media context in which information acceleration is a catalyst for the formation of visual trends across media. Taking an interdisciplinary approach to information design and using grounded theory methodology, this article examines the visual evolution of the news and discusses the study's relevance to technical communication.
                        "
https/academic.microsoft.com/#/detail/1981209423,Culture and Cultural Identity in Intercultural Technical Communication,R. Peter Hunsinger,"
                            Drawing from the critical cultural theory of Arjun Appadurai, this article interrogates the concept of culture underpinning much intercultural technical communication research. Appadurai suggested that intertextual connections between the cultural and the economic, political, demographic, and historical aspects of the globalizing world are essential for understanding cross-cultural communication. The cultural theory offered in this article opens the way for further cultural studies research to be of use in intercultural technical communication theory, research, and pedagogy.
                        "
https/academic.microsoft.com/#/detail/1981879088,Using portfolios to evaluate service courses as part of an engineering writing program,"Cathie Scott, Carolyn Plumb","
                            Assessing the efficacy of technical communication service courses is a complex task, yet it is a task that service course providers should embrace as an opportunity to learn more about student and faculty needs and to update and improve curricula. This assessment has become more immediate for many educators because of ABET 2000 (Accreditation Board for Engineering and Technology), a comprehensive revamping of the way engineering programs are accredited. ABET 2000 criteria require that engineering programs provide evidence of the efficacy of all instruction, including communication. When the new ABET criteria were released, we had already begun a comprehensive evaluation of not only our service courses but also the total writing experience of engineering students at the University of Washington. This paper gives a theoretical rationale for a portfolio evaluation project and describes a directly applicable structure and procedure for such a project.
                        "
https/academic.microsoft.com/#/detail/1981975560,Redefining the ResponsibiIities of Teachers and the Social Position of the Technical Communicator,Gerald J. Savage,"
                            As we increasingly recognize the social nature of technical communication, our responsibilities as teachers need to be redefined. Three levels of responsibility are suggested: at the theoretical level, we should study technical communication as a historically emergent social practice; at the pedagogical level, we need to incorporate social and historical perspectives into technical communication courses and curricula; at the level of social action, we should participate in defining and creating new sites of practice for technical communicators. Several suggestions are offered for helping students locate or develop alternative sites of technical communication practice.
                        "
https/academic.microsoft.com/#/detail/1982152678,"Pseudotransactionality, Activity Theory, and Professional Writing Instruction",Clay Spinuzzi,"
                            Pseodotransactionality—writing that Is patently designed by a student to meet teacher expectations rather than to perform the ""real"" function the teacher has suggested—is a problem that has frequently troubled writing teachers, especially professional writing teachers. This article attempts to analyze the problem from a sociohistorical perspective by using two Russian theoretical exports: (1) M. M. Bakhtin's concept of genre and (2) Vygotsklan activity theory. The article concludes by suggesting how a sociohistorical perspective mlght help to counteract pseudotransactionality In the professional writing classroom.
                        "
https/academic.microsoft.com/#/detail/1982310578,Beyond Foucault: Toward a user‐centered approach to sexual harassment policy,Frances J. Ranney,"
                            Our current national policy regarding sexual harassment, expressed through legal, economic, and popular discourses, exemplifies the Foucauldian paradigm in its attempt to regulate sexuality through seemingly authorless texts. Arguing that regulation through such “discursive technologies”; need not lead to the effects of domination that Foucault recognized, I propose a user‐centered approach to policy drafting that values the knowledge of workers as users and makers of workplace policy.
                        "
https/academic.microsoft.com/#/detail/1983296280,"Power, Language, and Professional Choices: A Hermeneutic Approach To Teaching Technical Communication.",Denise Tillery,"
                            This article argues that the philosophical hermeneutics of Hans-Georg Gadamer provides a useful theoretical framework from which to discuss ethical issues in the technical communication classroom. The article analyzes a previously published case study to demonstrate how hermeneutics can shed light on the ways that writers can be unconscious of ethical problems in their own writing. Finally, some suggestions for pedagogical applications are presented.
                        "
https/academic.microsoft.com/#/detail/1984316902,Globalizing Professional Writing Curricula: Positioning Students and Re-Positioning Textbooks,Libby Miles,"
                            As publishers integrate international issues into professional writing textbooks, we must analyze how curricular globalization is presented to students. Textbooks examined here position international students as clients, consumers, and exotics who present barriers to effective communication. Furthermore, most of the textbooks contain catalogs of decontextualized cultural factoids rather than strategies for identifying and understanding cultural differences. To expand our notion of international issues, we might consider reading relevant English as a Second Language scholarship for insights. A limited annotated bibliography concludes this article.
                        "
https/academic.microsoft.com/#/detail/1985085774,Women's Role in Creating the Field of Health and Safety Communication,Monica Madaus,"
                            Crystal Eastman, Alice Hamilton, and the women who organized the Workers' Health Bureau helped shape the field of health and safety communication early in this century. In texts targeted to varied professional and popular audiences, they sought to prevent occupational accidents and disease by promoting voluntary efforts by employers, government regulation and compensation programs, and unions to incorporate health and safety standards in contracts. While both their approach to research and their argumentative strategies can be considered ""feminine,"" this designation reflects a tendency to associate women with activities and behaviors that have been devalued.
                        "
https/academic.microsoft.com/#/detail/1985676945,"The Academic Job Market in Technical Communication, 2002-2003","Carolyn Rude, Kelli Cargile Cook","
                            Analysis of the academic job market in 2002-2003 reveals that 118 nationally advertised academic jobs named technical or professional communication as a primary or secondary specialization. Of the 56 in the ""primary"" category that we were able to contact, we identified 42 jobs filled, 10 unfilled, and 4 pending. However, only 29% of the jobs for which technical or professional communication was the primary specialization were filled by people with degrees in the field, and an even lower percent (25%) of all jobs, whether advertised for a primary or secondary specialization, were filled by people with degrees in the field. Search chairs report a higher priority on teaching and research potential than on a particular research specialization, and 62% of all filled positions involve teaching in related areas (composition, literature, or other writing courses).
                        "
https/academic.microsoft.com/#/detail/1987163980,When Professional Biologists Write: An Ethnographic Study with Pedagogical Implications,David Hutto,"
                            Based on an ethnographic study of scientists at the Centers for Disease Control and Prevention, this article describes how the rhetorical invention process of a group of working scientists is strongly rooted in social collaborative processes. These writing practices of working professionals are not always synonymous with the way students entering the professions have been taught to write. Because invention is such an important aspect of the writing process, it is important to teach students the approaches to invention that are actually used in science, approaches that include a great deal of interaction, including talking to other scientists and reading journal articles. This article ends with pedagogical suggestions for teaching collaborative invention to students based on the results of the study.
                        "
https/academic.microsoft.com/#/detail/1987281348,Relocating the Value of Work: Technical Communication in a Post-Industrial Age.,Johndan Johnson-Eilola,"
                            This article analyzes the location of ""value"" in technical communication contexts, arguing that current models of technical communication embrace an outdated, self-deprecating, industrial approach subordinating information to concrete technological products. By rethinking technical communication in terms of Reich's ""symbolic-analytic work,"" technical communicators and educators can move into a post-industrial model of work that prioritizes information and communication, with benefits to both technical communicators and users.
                        "
https/academic.microsoft.com/#/detail/1988883775,Conversations with Technical Writing Teachers: Defining a Problem,Bonita R. Selting,"
                            This article brings to light a topic that surfaces regularly among technical writing practitioners and theorists but is rarely addressed in the literature of the field. Stuart Selber deals with it in his 1997 essay ""Hypertext Spheres of Influence"" (see especially page 30), but a check of the Association of Teachers of Technical Writing (ATTW) Bibliography for the last two years produced only one recent article obviously devoted to it (see Mitra). The topic centers around this question: Is teaching technology problematic for technical writing instructors? Voices are heard here of 64 ATTW members who were queried on their roles as teachers of technical writing in relation to the demands made upon them to also be teachers of technology skills. Answers are presented and examined in terms of ""teacher lore,"" the informal sharing of teacher experiences and opinion/feeling about those experiences. The article concludes with a call for more research to clarify the roles teachers of technical writing should be play...
                        "
https/academic.microsoft.com/#/detail/1989014969,"""Curb Cuts"" on the Information Highway: Older Adults and the Internet",Karen O'Hara,"
                            With demographic and social trends in mind, technical communicators should be examining the online communication needs of elderly people who may share certain characteristics with other Internet users, particularly the disabled community. Although education, universal design, and accessibility initiatives help us address many of the developmental and cultural barriers elderly Internet users face, this article examines some current offerings, analyzing the growing elderly audience to better incorporate usability into Web design.
                        "
https/academic.microsoft.com/#/detail/1989171007,Research Tactics for Constructing Perceptions of Subject Matter in Organizational Contexts: An Ethnographic Study of Technical Communicators.,Marjorie Rush Hovde,"
                            Theories of invention often overlook the role of learning subject matter in order to write, especially in workplaces. This ethnographic study describes technical communicators' abilities to learn about software within organizational constraints and resources. These writers' tactics for learning software included using it themselves, talking to co-workers, studying program specifications, learning from comments on internal reviews, and studying old manuals. I evaluate each tactic for its usefulness in creating rich knowledge. Knowing how to adapt subject matter research to one's organizational context should prove useful to novice technical communicators. This research can also help explain processes of creating knowledge in discourse.
                        "
https/academic.microsoft.com/#/detail/1989657294,Technical Communication and the Role of the Public Intellectual: A Community HIV-Prevention Case Study,Melody Bowdon,"
                            This article argues that technical communicators are uniquely poised to function as public intellectuals. To demonstrate this point, the author offers the example of her work on a major AIDS prevention program report. Situating this work within the history of technical communication, the current discussion of rhetorics of risk, and the writing classroom, the author argues that technical writers don't have simply the opportunity to engage in textual activism; in many cases they have no alternative.
                        "
https/academic.microsoft.com/#/detail/1989817292,Teaching Intercultural Communication in a Technical Writing Service Course: Real Instructors' Practices and Suggestions for Textbook Selection,"Thomas Barker, Natalia Matveeva","
                            This article addresses the problem of textbook selection for teaching intercultural communication in the service course. The study analyzes the pedagogical elements of textbooks, using a model of awareness, information, and practice. Applying the Burkean pentad as an analytical tool, the article situates the pedagogical elements of textbooks in four areas: the instructor's experience, course goals, classroom situation, and teaching techniques. It then describes a tool for textbook and context assessment useful for guiding textbook selection. It reports the results of a contextual inquiry to validate the assessment tool. We conclude that the assessment tool offers instructors a valuable predictor of the fitness of a given textbook to a given instructional situation.
                        "
https/academic.microsoft.com/#/detail/1990112654,Green Guilt: An Effective Rhetoric or Rhetoric in Transition?,Arlene Plevin,"
                            This article employs aspects of Jurgen Habermas's theory of communicative action and his concept of a lifeworld, alongside composition theory's use of community, to examine the effectiveness of guilt as a rhetorical strategy in two national environmental publications. It finds that, ultimately, for long-term cdmmunicative action to occur, environmental groups should not rely on guilt as a rhetorical strategy because outside their ""discourse communities,"" it will not lead to ""dialogue, deliberation, and consensus-building.""
                        "
https/academic.microsoft.com/#/detail/1990257508,Building Context: Using Activity Theory to Teach About Genre in Multi-Major Professional Communication Courses,"Donna Kain, Elizabeth Wardle","
                            Instructors in multi-major professional communication courses are asked to teach students a variety of workplace genres. However, teaching genres apart from their contexts may not result in transfer of knowledge from school to workplace settings. We propose teaching students to research genre use via activity theory as a way of encouraging transfer. We outline theory and research relevant to teaching genre and provide results from a study using activity theory to teach genre in two different professional communication courses.
                        "
https/academic.microsoft.com/#/detail/1990328127,Towards an emancipatory pedagogy in service courses and user departments,"Carol David, Donna Kienzler","
                            Critical thinking has led teachers of service courses and their user departments into common pedagogies. Motivated by calls from industry for students with problem‐solving abilities, both service courses and their user departments have incorporated higher‐level thinking modes into their assignments. Applying the interpretive mode of rationality posited by Habermas, innovative teachers are changing their pedagogical methods from the simple transference of information from teacher to student to assignments requiring team projects where students grapple with parametric problem solving that demands interpreting complex data. Applying the emancipatory mode of rationality, some assignments involve outside clients and working with community‐based social and political issues.
                        "
https/academic.microsoft.com/#/detail/1990413796,"Geology, Photography, and Environmental Rhetoric in the American West of 1860-1890",Gregory A. Wickliff,"
                            The geological surveys of the American West in the 1860s-80s are photographically illustrated scientific and technical documents that impose colonizing metaphors upon ""natural"" areas and resources-metaphors that continue to be contested today in Sierra Club calendar views of Yosemite peaks and in contemporary Congressional ddbates over mining rights and royalties on public Westem lands. Photographic images by William Henry Jackson, Timothy O'Sullivan, and others are central to the survey reports and are here read not so much as products of individual artistic or aesthetic sensibility, but more as thetoncat products of economic, ideological, and political forces in the decades after the American Civil War.
                        "
https/academic.microsoft.com/#/detail/1990547443,Reception Studies in the Rhetoric of Science,Randy Allen Harris,"
                            This article encourages the increased attention to issues of reception in rhetoric of science, according with the sentiment but not the argument of Paul, Charney, and Kendall's ""Moving beyond the Moment."" In particular, it offers two works as exemplary of the disciplinary maturity that has occasioned this focus on reception, Ceccarelli's monograph, Shaping Science with Rhetoric, and Harris's collection, Rhetoric and Incommensurability.
                        "
https/academic.microsoft.com/#/detail/1991015600,A Structural Analysis of Coherence in Electronic Charts in Juvenile Mental Health,"Susan L. Popham, Sage Lambert Graham","
                            This study explores the impact of institutionalized formulas in the creation of electronic mental health chart records. Through a qualitative analysis of client records obtained from a private organization that provides support and rehabilitation for at-risk youth, we explore the ways that structures imposed by the electronic charts limit cohesiveness and disrupt the communication of evaluative information. This disruption, which we argue is imposed by the format of the charts themselves and is reinforced by the institutional structures at work, is pivotal because it potentially impedes effective communication and understanding between the caregivers and providers who access this information.
                        "
https/academic.microsoft.com/#/detail/1991353154,"Complicating technology: Interdisciplinary method, the burden of comprehension, and the ethical space of the technical communicator",Robert R. Johnson,"
                            There is much for technical communicators to learn from the burgeoning field of technology studies. Technical communicators, however, have an obligation to exercise patience as they enter this arena of study. Using interdisciplinary theory, this article argues that technical communication must assume the “burden of comprehension”;: the responsibility of understanding the ideologies, contexts, values, and histories of those disciplines from which we borrow before we begin using their methods and research findings. Three disciplines of technology study—history, sociology, and philosophy—are examined to investigate how these disciplines approach technology. The article concludes with speculation on how technical communicators, by virtue of their entrance into this interdisciplinary arena, might refashion both their practical roles and the scope of their ethical responsibilities.
                        "
https/academic.microsoft.com/#/detail/1991665580,Problems in Picturing Text: A Study of Visua/Verbal Problem Solving,Philippa J. Benson,"
                            In this study, experts from three different disciplines gave think aloud protocols as they revised mismatched text/illustration combinations from biology textbooks. Fourteen first-year college biology students also gave protocols as they read and interpreted the combinations. The study was designed to explore the problem solving strategies of the experts as they revised the combinations of visual and verbal information. The results of this study indicate that, despite differences, the experts from the different disciplines worked in similar ways. Nevertheless, many of the experts were not able to predict the misinterpretations that students had of the combinations. The results indicate that one of the sources of problems in text/illustration combinations in textbooks may be due to a lack of consensus among expert authors as well as to a lack of direct feedback from readers. The results suggest that practical changes in publishing practices may be useful.
                        "
https/academic.microsoft.com/#/detail/1992266743,Techne and Technical Communication: Toward a Dialogue,Jay Gordon,"
                            The classical Greek discourse on techne has much to offer technical communication teachers concerned about the relationship between theory and practice, but this potential has not yet been realized. Plato's and Aristotle's discussions about the relationship between techne and rhetoric, for example, encompass questions about the rhetorical goals of the speakedwriter and about the role of theory in teaching rhetorical art that are of continuing relevance to the modern discourse on technical communication. The aim of this article is to identify several points upon which a fruitful dialogue between ancient and modern discourses can begin. First, I supply some background on how the term techne was used up through the fourth century BCE. Then I discuss how the modern discourse on technical communication (including material from popular textbooks) both converges with and departs from Plato's and Aristotle's statements on the relationship between techne and rhetoric. Finally, I point out areas for further discuss...
                        "
https/academic.microsoft.com/#/detail/1992582935,"Educating ""Community Intellectuals"": Rhetoric, Moral Philosophy, and Civic Engagement","Michelle F. Eble, Lynee Lewis Gaillet","
                            This article encourages technical and professional communication programs to take on the challenge of educating students to become ""community intellectuals."" The notion of educating future professionals for a career needs to be reconsidered in light of both current research concerning civic rhetoric and past practices in moral humanism courses. The triumvirate of rhetoric, ethics, and moral philosophy provides an effective foundation for reconfiguring existing pedagogy in the field and offers insights for nurturing community intellectuals.
                        "
